Ntraining,Njump,sigma_co,sigma_ve,rets_05,rets_10,rets_20,len rets 5,len rets 10,len rets 20,Capital_top5,Capital_top10,Capital_top20,Sharpe_top5,Sharpe_top10,Sharpe_top20,Median_top5,Median_top10,Median_top20,Sharpe_top5Co,Sharpe_top10Co,Sharpe_top20Co
121,80,1.5,0.1,"[ 0.          0.          0.         ... -0.00139476 -0.00280109
 -0.00155139]","[ 0.          0.          0.         ... -0.00163894 -0.00563732
 -0.00246045]","[ 0.          0.          0.         ...  0.00046979 -0.00425308
  0.00170062]",2607,2607,2607,2143.8461908484746,1189.1878157731448,699.0080370185331,0.0944398032267247,0.07889847677397671,0.06948122843983282,0.0,0.0,0.00022490359142878972,1.524960906632239,1.1887075655863806,0.9895895945523174
131,80,1.5,0.1,"[ 0.00810869 -0.00594803  0.0025565  ...  0.00182497 -0.003572
  0.00666271]","[ 0.00497812 -0.00607209  0.00787039 ...  0.00091248 -0.00116295
  0.00717373]","[ 0.00277513 -0.00446178  0.00587134 ...  0.00063987 -0.00111488
  0.006959  ]",2528,2528,2528,2444.1758429517886,1698.633566480547,1020.6191960119128,0.09506718834124946,0.08615434517169034,0.07899092142467191,0.0,0.00041391986206761944,0.00045520480086952246,1.5479110501792404,1.3445741841262269,1.182883402680204
141,80,1.5,0.1,"[ 0.00019072  0.00830174  0.         ...  0.00770297 -0.00425732
 -0.01672863]","[-1.26805793e-04  4.15087193e-03  0.00000000e+00 ...  5.48263646e-03
  9.73520364e-05 -4.75319532e-03]","[ 0.00074149  0.0021574   0.00055161 ...  0.00172432  0.0024793
 -0.00396427]",2528,2528,2528,1882.9598356107506,1350.8945139749753,828.3030741233356,0.09051012344518716,0.08227306160673462,0.07256354088628084,1.1199659502901179e-05,0.00046168541900771273,0.00043658275170258237,1.4460362185756213,1.2598703536949174,1.0567563308565622
151,80,1.5,0.1,"[ 0.00114421  0.0005694  -0.00135805 ...  0.00339059 -0.00455652
  0.00189287]","[-0.00215166 -0.00194972 -0.00103648 ...  0.00244179 -0.00317856
 -0.00188012]","[-0.00081789  0.00225602 -0.0015317  ...  0.00608885 -0.00086087
 -0.00252153]",2528,2528,2528,1933.5458288782902,1338.6223668787445,766.3461224446852,0.09133471200064007,0.08277557530987072,0.07407795645816674,0.00014794579714783677,0.0005408351121814247,0.00044495732430564305,1.4627961972296626,1.2695969286637026,1.0791858043993172
161,80,1.5,0.1,"[ 0.00176408  0.00107248 -0.00329111 ...  0.00190286 -0.00039346
  0.00265606]","[-1.20495453e-03 -9.48330250e-05 -4.29422181e-03 ...  2.03489892e-03
 -7.02992945e-04  3.90121170e-03]","[-0.00187664 -0.00127401 -0.00330105 ... -0.00019206 -0.00227139
  0.00178138]",2528,2528,2528,1077.583046723756,1293.8216868502084,988.557173593312,0.07254281525874169,0.08182702568717538,0.09039308212920176,0.0,0.00035992562200926943,0.0005173037484271015,1.0596597706173954,1.2472330397366906,1.3882146327621387
