Ntraining,Njump,sigma_co,sigma_ve,rets_05,rets_10,rets_20,len rets 5,len rets 10,len rets 20,Capital_top5,Capital_top10,Capital_top20,Sharpe_top5,Sharpe_top10,Sharpe_top20,Median_top5,Median_top10,Median_top20,Sharpe_top5Co,Sharpe_top10Co,Sharpe_top20Co
121,80,1.5,0.1,"[ 0.          0.          0.         ... -0.00139476 -0.0093609
 -0.00799602]","[ 0.          0.          0.         ... -0.00058541 -0.00719765
 -0.01487383]","[ 0.          0.          0.         ... -0.00118656 -0.00296332
 -0.01060289]",2607,2607,2607,2050.1294222809593,1820.2281392227412,1231.5833060586845,0.11691421898005198,0.13109820527586397,0.1415721139285199,0.0,8.189586160607918e-05,0.00018007028060027978,1.936581736083417,2.17647726036883,2.298769416505294
131,80,1.5,0.1,"[ 0.00197201 -0.00107754  0.00392411 ... -0.00123465 -0.00179644
  0.00780688]","[ 0.00173857 -0.001492    0.00245979 ...  0.00069064 -0.00238949
  0.00416299]","[ 8.45225644e-04 -1.72969723e-03  1.91397784e-03 ... -3.31705662e-05
 -7.98735052e-04  2.65735897e-03]",2528,2528,2528,2683.442768496799,2507.8458635310685,1609.50838633339,0.12318116684433858,0.1415982424098998,0.15442449268311073,0.0002417597228953693,0.0005878335725190515,0.0006121933611972766,2.0937088554406276,2.424906486639877,2.5825297816860555
141,80,1.5,0.1,"[-0.0006253   0.0009686   0.00209388 ...  0.00770297 -0.00425732
 -0.01672863]","[ 0.00134929  0.00119877  0.00104694 ...  0.00234695  0.00102543
 -0.00836432]","[ 0.00312922  0.00110753  0.00182578 ...  0.00127589  0.00391131
 -0.00346368]",2528,2528,2528,2482.936314234464,2022.4836001454225,1536.2884823598372,0.12200583527198786,0.1311282256527412,0.15140061987792752,0.0,0.000607888352912852,0.0004980576258750841,2.064683348283647,2.2036721192290734,2.51892814074037
151,80,1.5,0.1,"[ 0.00272549 -0.00252637  0.00556886 ... -0.00122425 -0.00135735
 -0.00147407]","[ 0.00031911  0.00103306  0.00249068 ...  0.00461779 -0.00043646
 -0.00327917]","[-1.40150193e-03 -7.03440636e-05  1.67184130e-04 ...  8.01108583e-03
  4.40421380e-04 -2.82006463e-03]",2528,2528,2528,2463.228782149941,2011.0918520432228,1321.0158510485019,0.12019525257684839,0.14091331024200413,0.14954457231626392,0.0001297899628325971,0.0005316172511362972,0.0005490145971617625,2.0280872508379417,2.3805017889380826,2.4638030377179336
161,80,1.5,0.1,"[-0.00359493 -0.00212125 -0.00232205 ...  0.00456913 -0.00178641
  0.00984828]","[-0.00281102 -0.00062959 -0.0012066  ...  0.00323599 -0.00108994
  0.00515078]","[-0.0035024   0.00175779 -0.00103871 ...  0.00101811 -0.00037489
  0.00295192]",2528,2528,2528,1366.462066465761,1347.8841314330152,1078.358997248075,0.07230967749538507,0.08771312817530319,0.11789283527285778,0.0,0.00029900802857943084,0.0005036791971215689,1.0658148833915742,1.3645645402686086,1.8859005877128183
