Ntraining,Njump,sigma_co,sigma_ve,rets_05,rets_10,rets_20,len rets 5,len rets 10,len rets 20,Capital_top5,Capital_top10,Capital_top20,Sharpe_top5,Sharpe_top10,Sharpe_top20,Median_top5,Median_top10,Median_top20
121,80,1.5,0.1,[0.         0.         0.         ... 0.00487598 0.         0.        ],"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  1.84293132e-03
 -5.15723431e-06 -1.12894911e-03]","[ 0.          0.          0.         ...  0.00063238  0.00036101
 -0.00052874]",2607,2607,2607,288.2946836072185,277.1848796024381,201.07608658341852,0.08443916831879986,0.09482503687315144,0.06596750205277434,0.0,2.5722560142255742e-05,1.6056908579860277e-05
131,80,1.5,0.1,"[-0.00080172 -0.0020202   0.00099204 ...  0.00209481  0.00085231
 -0.00084652]","[-0.0002023  -0.00097995  0.00072604 ...  0.0016247  -0.00357758
 -0.00180759]","[-0.00032505  0.00022241  0.00019791 ...  0.00130132  0.00141819
 -0.00127011]",2528,2528,2528,328.740247576475,265.31390080695957,215.4792582012566,0.09313707159838211,0.07945181826740405,0.07364480651816373,0.0,0.00014396391916730576,0.00018083597458442451
141,80,1.5,0.1,"[-0.00663516  0.00187188  0.00655857 ... -0.00165982  0.00356941
 -0.00213706]","[-0.00413937 -0.00188072  0.0018991  ... -0.00252725  0.00092375
 -0.00156088]","[-1.40012921e-04 -4.87710089e-03  9.78307127e-04 ... -2.56045088e-03
  1.31288597e-05 -1.77259772e-03]",2528,2528,2528,366.4140483963203,279.7802096001981,231.53125326385484,0.08355220160102819,0.07784271183376139,0.0760383121175733,0.0,0.00015665446175811216,0.00018042371105705723
151,80,1.5,0.1,[0.00170947 0.00292506 0.00073331 ... 0.0014434  0.00614976 0.00178338],"[ 0.00481783  0.00248394 -0.00306245 ...  0.00048304  0.00469185
  0.00055947]","[ 0.00529264  0.00119742 -0.00013072 ... -0.00161473  0.0032726
  0.00209579]",2528,2528,2528,320.27409945555877,232.0567655393284,230.0267832518637,0.07884144622956676,0.06542420468053364,0.08397429710295412,4.045268272763715e-05,0.00015331231892538777,0.00020151823064590394
161,80,1.5,0.1,"[-0.00075622  0.00030718 -0.00099192 ...  0.00431929 -0.00074951
  0.00137026]","[ 2.27264724e-03 -2.22083494e-06 -6.10501641e-05 ...  2.62776748e-03
 -6.97619555e-04  6.09156252e-04]","[ 6.17211791e-04  1.92595411e-04 -7.61246122e-05 ... -4.17597306e-03
 -1.90402972e-03  1.87617988e-04]",2528,2528,2528,301.41197396210066,205.65579492402168,192.1908272852822,0.07545225633422312,0.056240698772256174,0.06846382672226806,2.4604254360290934e-05,0.00013399779800135156,0.00016960652098918806
