Ntraining,Njump,sigma_co,sigma_ve,rets_05,rets_10,rets_20,len rets 5,len rets 10,len rets 20,Capital_top5,Capital_top10,Capital_top20,Sharpe_top5,Sharpe_top10,Sharpe_top20,Median_top5,Median_top10,Median_top20
131,80,1.5,0.0,"[-0.00080172 -0.0020202   0.00099204 ...  0.00363388 -0.00013754
 -0.00107949]","[-0.0002023  -0.00097995  0.00072604 ...  0.00239423 -0.0040725
 -0.00192407]","[-0.00032505  0.00022241  0.00019791 ...  0.00168608  0.00117073
 -0.00132835]",2528,2528,2528,323.6210719532558,266.9816523571597,220.67581535789768,0.09111307111622755,0.07936694208243403,0.07469899671235758,2.4761925564705813e-05,0.0001725211708039795,0.0001834597299115157
131,80,1.5,0.1,"[-0.00080172 -0.0020202   0.00099204 ...  0.00209481  0.00085231
 -0.00084652]","[-0.0002023  -0.00097995  0.00072604 ...  0.0016247  -0.00357758
 -0.00180759]","[-0.00032505  0.00022241  0.00019791 ...  0.00130132  0.00141819
 -0.00127011]",2528,2528,2528,328.740247576475,265.31390080695957,215.4792582012566,0.09313707159838211,0.07945181826740405,0.07364480651816373,0.0,0.00014396391916730576,0.00018083597458442451
131,80,1.5,0.2,"[-0.00080172 -0.0020202   0.00099204 ...  0.00209481  0.00085231
 -0.00131725]","[-0.0002023  -0.00097995  0.00072604 ...  0.0016247  -0.00357758
 -0.00204295]","[-0.00032505  0.00022241  0.00019791 ...  0.00130132  0.00141819
 -0.00138779]",2528,2528,2528,322.16018316309436,266.1391304932739,219.0012158079394,0.09336446940978506,0.08070117096429741,0.0757250622335344,0.0,0.00016870363161262537,0.0001880028740903482
131,80,1.5,0.5,"[-0.00081752 -0.00078412  0.00030357 ...  0.00209481  0.00085231
 -0.00131725]","[-0.0002102  -0.00051377  0.00049602 ...  0.0016247  -0.00357758
 -0.00204295]","[-0.000329    0.00045551  0.00033018 ...  0.00221276 -0.00065531
 -0.00138779]",2528,2528,2528,258.8233669775305,217.84173330617818,194.6747037681991,0.08153680280221358,0.06742740898258277,0.06742316785485568,0.0,5.1970371587592434e-05,0.00011304687202343938
131,80,1.5,1.0,"[ 0.          0.          0.         ...  0.00209481  0.00085231
 -0.00131725]","[ 7.08178744e-05  4.96334314e-04  0.00000000e+00 ...  2.12809373e-03
 -7.43626289e-03 -2.04294926e-03]","[-0.00018849  0.00096056  0.         ...  0.00246446 -0.00258465
 -0.00138779]",2528,2528,2528,214.5932605070135,189.17077865948036,164.41508102841246,0.07344283993821137,0.05995828020521828,0.05450781714145209,0.0,0.0,2.4138883568920637e-05
