Ntraining,Njump,sigma_co,sigma_ve,rets_05,rets_10,rets_20,len rets 5,len rets 10,len rets 20,Capital_top5,Capital_top10,Capital_top20,Sharpe_top5,Sharpe_top10,Sharpe_top20,Median_top5,Median_top10,Median_top20
131,60,1.5,0.1,"[-0.00080172 -0.0020202   0.00099204 ...  0.00070854  0.00500782
 -0.00164612]","[-0.0002023  -0.00097995  0.00072604 ...  0.00092634  0.00422282
 -0.00175362]","[-0.00032505  0.00022241  0.00019791 ...  0.00073321  0.00328386
 -0.00184892]",2537,2537,2537,375.3162527661887,301.24112342517714,217.08005279477382,0.10538128768605859,0.10482924327491311,0.07662154177933597,3.8817484256729874e-05,0.00018280734705762615,0.00017542920327885664
131,70,1.5,0.1,"[-0.00080172 -0.0020202   0.00099204 ...  0.006167   -0.00022625
  0.004062  ]","[-0.0002023  -0.00097995  0.00072604 ...  0.00462339 -0.00057781
  0.00254619]","[-0.00032505  0.00022241  0.00019791 ... -0.00351069 -0.00170813
  0.00112039]",2553,2553,2553,339.59492674971847,275.4010360813527,208.60399232096123,0.09479002217335235,0.08490066855132927,0.07423616538570747,6.103554588726553e-05,0.0001602304518799648,0.000161223130094158
131,80,1.5,0.1,"[-0.00080172 -0.0020202   0.00099204 ...  0.00209481  0.00085231
 -0.00084652]","[-0.0002023  -0.00097995  0.00072604 ...  0.0016247  -0.00357758
 -0.00180759]","[-0.00032505  0.00022241  0.00019791 ...  0.00130132  0.00141819
 -0.00127011]",2528,2528,2528,328.740247576475,265.31390080695957,215.4792582012566,0.09313707159838211,0.07945181826740405,0.07364480651816373,0.0,0.00014396391916730576,0.00018083597458442451
131,90,1.5,0.1,"[-0.00080172 -0.0020202   0.00099204 ...  0.0002169   0.00383138
 -0.00137413]","[-0.0002023  -0.00097995  0.00072604 ... -0.00070753  0.00328796
 -0.00091641]","[-0.00032505  0.00022241  0.00019791 ...  0.00131359  0.00364272
  0.00103458]",2581,2581,2581,281.551977053762,243.23500935590437,200.5732174602894,0.08068804332885203,0.07835295546722248,0.07215224947804932,0.0,0.00010059120494133686,0.00012750181898494938
