Ntraining,Njump,sigma_co,sigma_ve,rets_05,rets_10,rets_20,len rets 5,len rets 10,len rets 20,Capital_top5,Capital_top10,Capital_top20,Sharpe_top5,Sharpe_top10,Sharpe_top20,Median_top5,Median_top10,Median_top20
131,80,0.5,0.1,"[ 0.01009474 -0.00807783  0.00152539 ... -0.00303626  0.00321648
 -0.00099198]","[ 0.00899433 -0.00585138  0.0016239  ... -0.00384655  0.00265831
  0.00082749]","[ 0.00435138 -0.00399748  0.00208487 ... -0.00429148  0.00139346
  0.00112743]",2528,2528,2528,13338.644658272502,4582.28600598978,1717.657090929049,0.11473871354736881,0.11138610716451773,0.12764370086283847,0.001137159115289488,0.0009344655834977154,0.0007226909366829571
131,80,1.0,0.1,"[ 0.01009474 -0.00807783  0.00152539 ...  0.00031485  0.00321648
 -0.00099198]","[ 0.00899433 -0.00668396  0.001674   ... -0.00130573  0.00156347
  0.00035996]","[ 0.00452414 -0.00384437  0.00208487 ... -0.00232395  0.00079347
 -0.00089772]",2528,2528,2528,6874.456131684919,2747.4479067843167,1213.822309490885,0.11311846459658054,0.1115581099661014,0.1281108603975829,0.0008726009770105476,0.0007803274555273645,0.0006295888571150111
131,80,1.5,0.1,"[ 0.01061648 -0.00600171  0.00152539 ...  0.00031485  0.00321648
 -0.00099198]","[ 0.0092552  -0.00564589  0.00119748 ... -0.00130573  0.00156347
  0.00035996]","[ 0.00511396 -0.00306309  0.00230226 ... -0.00199824  0.00079347
 -0.00089772]",2528,2528,2528,4393.796978616572,1930.1309509749658,892.6938478430941,0.10720455369642422,0.10488802405460626,0.12232409605262007,0.00040479503307267877,0.0005921266730560082,0.000494967504019843
131,80,2.0,0.1,"[ 0.01061648 -0.00600171  0.0025195  ...  0.00031485 -0.00034826
  0.00072036]","[ 0.00855574 -0.00564589  0.00169453 ... -0.00130573 -0.0002189
  0.00121612]","[ 0.00401625 -0.00264912  0.00150531 ... -0.00199824 -0.00021133
 -0.00051318]",2528,2528,2528,1700.6696249445038,1110.0839468439904,528.9302440085189,0.08889679019346837,0.09579461424210484,0.10792807499941452,0.0,0.00019634757976888414,0.00027159614252673546
131,80,2.5,0.1,"[ 0.          0.          0.         ...  0.00031485 -0.00034826
  0.00072036]","[ 0.          0.          0.         ... -0.00130573 -0.0002189
  0.00121612]","[ 0.          0.          0.         ... -0.00199824 -0.00017891
 -0.00054422]",2528,2528,2528,693.4426323822379,586.4203249148426,300.1476190738947,0.08384280158950401,0.09680295222761431,0.09697851190151048,0.0,0.0,0.0
