Ntraining,Njump,sigma_co,sigma_ve,rets_05,rets_10,rets_20,len rets 5,len rets 10,len rets 20,Capital_top5,Capital_top10,Capital_top20,Sharpe_top5,Sharpe_top10,Sharpe_top20,Median_top5,Median_top10,Median_top20
131,80,1.5,0.0,"[ 0.01061648 -0.00600171  0.00152539 ...  0.00031485  0.00321648
 -0.00099198]","[ 0.0092552  -0.00564589  0.00119748 ... -0.00130573  0.00156347
  0.00035996]","[ 0.00511396 -0.00306309  0.00230226 ... -0.00240812  0.00171708
 -0.00089772]",2528,2528,2528,4138.804466200235,1810.421557161105,867.7002521309582,0.10266589539753809,0.10152797144095638,0.11827962935362854,0.0005165749765276048,0.0006596273874567664,0.0005034093609246372
131,80,1.5,0.1,"[ 0.01061648 -0.00600171  0.00152539 ...  0.00031485  0.00321648
 -0.00099198]","[ 0.0092552  -0.00564589  0.00119748 ... -0.00130573  0.00156347
  0.00035996]","[ 0.00511396 -0.00306309  0.00230226 ... -0.00199824  0.00079347
 -0.00089772]",2528,2528,2528,4393.796978616572,1930.1309509749658,892.6938478430941,0.10720455369642422,0.10488802405460626,0.12232409605262007,0.00040479503307267877,0.0005921266730560082,0.000494967504019843
131,80,1.5,0.2,"[ 0.01061648 -0.00600171  0.00152539 ...  0.00031485  0.00321648
 -0.00099198]","[ 0.0092552  -0.00564589  0.00119748 ... -0.00130573  0.00156347
  0.00035996]","[ 0.00511396 -0.00306309  0.00230226 ... -0.00199824  0.00079347
 -0.00089772]",2528,2528,2528,4442.895920608064,1872.418268895381,892.2051184275878,0.10827204291833112,0.10443645838596215,0.12409421493728734,0.0002652845448537606,0.0005123042486037793,0.0004957635640227744
131,80,1.5,0.5,"[ 0.01061648 -0.00600171  0.00152539 ...  0.          0.00356474
 -0.00171234]","[ 8.55573570e-03 -5.64589376e-03  1.19747583e-03 ... -2.10654769e-03
 -1.54385945e-04 -2.23398706e-07]","[ 4.58724271e-03 -2.48961355e-03  1.03939306e-03 ... -2.39864414e-03
 -6.54538623e-05 -1.07780741e-03]",2528,2528,2528,2573.3943542583365,1446.1582620373215,685.4601037346548,0.09927816954751331,0.09960631773166885,0.11183555130117492,0.0,0.0004429774942945954,0.0004144389731233466
131,80,1.5,1.0,"[ 0.01061648 -0.00434584 -0.00186706 ...  0.          0.00356474
 -0.00171234]","[ 8.55573570e-03 -3.41888466e-03 -4.98746219e-04 ... -2.10654769e-03
 -1.54385945e-04 -2.23398706e-07]","[ 4.69689170e-03 -1.19560381e-03  1.66232428e-04 ... -2.39864414e-03
  7.41750600e-05 -6.97131196e-04]",2528,2528,2528,928.4249584977399,681.9928797601688,454.6920331217807,0.07695948969613665,0.07917448868889741,0.09803738208112801,0.0,0.0001382525760851342,0.00024519114976006326
