Ntraining,Njump,sigma_co,sigma_ve,rets_05,rets_10,rets_20,len rets 5,len rets 10,len rets 20,Capital_top5,Capital_top10,Capital_top20,Sharpe_top5,Sharpe_top10,Sharpe_top20,Median_top5,Median_top10,Median_top20
131,80,1.5,0.0,"[-0.00055056  0.00186481  0.00091092 ...  0.          0.
 -0.00253136]","[-0.0002289   0.00166397  0.00013072 ... -0.00095814  0.00169346
 -0.00107519]","[-0.00176694  0.00264505 -0.00087119 ... -0.00112431 -0.00031792
 -0.00109969]",2528,2528,2528,439.6108774185177,398.0044436096875,304.6724760026875,0.1212061562251872,0.12539956843160108,0.12793592985389493,0.0,0.00019565529937663387,0.0001895382373481581
131,80,1.5,0.1,"[-0.00055056  0.00186481  0.00091092 ...  0.          0.
 -0.00253136]","[-0.0002289   0.00166397  0.00071521 ... -0.00095814  0.00169346
 -0.00107519]","[-0.00176694  0.00264505 -0.00023258 ... -0.00112431 -0.00031792
 -0.00109969]",2528,2528,2528,420.82325989522786,388.5391792498091,298.3499266331628,0.12097094305779942,0.12600426897762707,0.12820704553823697,0.0,0.00017615371746174878,0.00019140687459448725
131,80,1.5,0.2,"[-0.00055056  0.00186481  0.00144159 ...  0.          0.
 -0.00253136]","[-0.0002289   0.00166397  0.00098054 ... -0.00095814  0.00169346
 -0.00107229]","[-1.76694285e-03  2.77085134e-03  1.58325033e-05 ... -1.12430862e-03
 -3.17919200e-04 -1.09823732e-03]",2528,2528,2528,395.41223867624467,365.38968427475595,286.9677304402443,0.11882989365136215,0.12339950560142918,0.12723179352348316,0.0,0.0001390638109257012,0.00018895226013596517
131,80,1.5,0.5,"[-0.00055056  0.00222124  0.00034128 ...  0.          0.
 -0.00253136]","[-0.0002289   0.00184218  0.00043038 ...  0.          0.
 -0.00107229]","[-0.00176694  0.00285996 -0.00116376 ... -0.00064524 -0.00031792
 -0.00109969]",2528,2528,2528,350.5391399184117,324.04723570341434,273.8379751012409,0.12171822998225454,0.12375250425348482,0.13426676026054726,0.0,7.494683009180356e-06,0.00014576259557484489
131,80,1.5,1.0,"[ 0.00055058  0.00047713  0.         ...  0.          0.
 -0.00253136]","[ 0.00027529  0.00023857  0.         ...  0.          0.
 -0.00107229]","[-0.00115614  0.00201284 -0.0006449  ... -0.00018432 -0.00016822
 -0.00053615]",2528,2528,2528,294.0482624890591,280.32836421837413,248.0892935751383,0.1194175701082854,0.1278014621692621,0.1422446166756118,0.0,0.0,8.930092768747392e-05
