Ntraining,Njump,sigma_co,sigma_ve,rets_05,rets_10,rets_20,len rets 5,len rets 10,len rets 20,Capital_top5,Capital_top10,Capital_top20,Sharpe_top5,Sharpe_top10,Sharpe_top20,Median_top5,Median_top10,Median_top20
121,80,1.5,0.1,"[ 0.          0.          0.         ... -0.00067417 -0.00210781
  0.00229091]","[ 0.          0.          0.         ... -0.00144577 -0.00445484
  0.00140516]","[ 0.          0.          0.         ... -0.00042486 -0.00222257
 -0.00019651]",2607,2607,2607,456.72801466335295,376.57056827274283,286.2740980670161,0.12723429625587557,0.1304715464247615,0.13027032776808017,0.0,6.305353417839785e-05,4.014799699222026e-05
131,80,1.5,0.1,"[-0.00055056  0.00186481  0.00091092 ...  0.          0.
 -0.00253136]","[-0.0002289   0.00166397  0.00071521 ... -0.00095814  0.00169346
 -0.00107519]","[-0.00176694  0.00264505 -0.00023258 ... -0.00112431 -0.00031792
 -0.00109969]",2528,2528,2528,420.82325989522786,388.5391792498091,298.3499266331628,0.12097094305779942,0.12600426897762707,0.12820704553823697,0.0,0.00017615371746174878,0.00019140687459448725
141,80,1.5,0.1,"[ 0.00247719  0.00295531  0.00253858 ...  0.00268498  0.00671146
 -0.00066499]","[ 0.00244658  0.00089041  0.00309876 ...  0.00238543  0.00181022
 -0.00077059]","[ 0.00055772  0.00104457  0.00131969 ...  0.00073273  0.00254454
 -0.00181453]",2528,2528,2528,429.7756318558606,315.22936422243174,280.1004823573876,0.13014807576518606,0.11307325091595481,0.12471099586827636,0.0,9.53275397098168e-05,0.00022506808309083674
151,80,1.5,0.1,"[-1.29541813e-03 -3.77891674e-05  2.52785586e-03 ...  1.32397509e-03
  7.38753365e-04  1.88825975e-03]","[-0.00027327  0.00066989  0.00126393 ...  0.00232101  0.00052385
  0.00201537]","[-1.62561807e-04 -5.63402547e-04  1.26157063e-03 ...  1.11295796e-03
 -7.45165890e-05  1.52034330e-03]",2528,2528,2528,493.0566853466008,347.6659141102262,297.5701000506372,0.1418077676135126,0.11876209036869512,0.12954326098497437,0.0,0.0001860387778261398,0.00021636264433399523
161,80,1.5,0.1,"[ 0.00034974 -0.00149999 -0.00125351 ...  0.00557168  0.00361405
  0.00473494]","[ 0.00016475 -0.00156596  0.00013252 ...  0.00474242  0.00542402
  0.00380645]","[ 0.00064099 -0.00319097 -0.0017722  ...  0.00427324  0.00241716
  0.00139392]",2528,2528,2528,385.4140290972746,311.4898621438645,265.2304615602576,0.11835150353908903,0.11187811909604571,0.11798908992669498,0.0,0.00019298929298434194,0.00019310750761519676
