Ntraining,Njump,sigma_co,sigma_ve,rets_05,rets_10,rets_20,len rets 5,len rets 10,len rets 20,Capital_top5,Capital_top10,Capital_top20,Sharpe_top5,Sharpe_top10,Sharpe_top20,Median_top5,Median_top10,Median_top20
131,80,0.5,0.1,"[ 0.00139996 -0.00520471  0.00096066 ... -0.00335111  0.00465958
 -0.00124481]","[ 0.00202401 -0.00353621  0.00029454 ... -0.00319225  0.00310445
  0.00058556]","[-1.52787354e-03  4.35250074e-05  1.53404913e-03 ... -1.99561485e-03
  3.63797785e-03 -1.02668110e-03]",2528,2528,2528,2900.0235669512067,2967.787723828498,1454.86356092994,0.11633389566041058,0.139405992079419,0.13355923636068487,0.0007764668665818383,0.0007987200374155196,0.0006796499097756759
131,80,1.0,0.1,"[ 0.00209097 -0.0048985   0.00096066 ...  0.          0.00356474
 -0.00171234]","[ 0.00236952 -0.00338311  0.00038638 ... -0.00065143  0.0020096
  0.00011802]","[-0.00135512  0.00019663  0.00184936 ... -0.00074743  0.00309055
 -0.00126045]",2528,2528,2528,2521.8336676801405,2322.2656843542163,1112.7989054841298,0.11920550030507264,0.14285066786063425,0.13105943026329936,0.0005901393557574499,0.0006708684869750326,0.0005758059570630308
131,80,1.5,0.1,"[ 0.00261271 -0.00251617  0.00087719 ...  0.          0.00356474
 -0.00171234]","[ 0.00263039 -0.00219194  0.00082116 ...  0.          0.0020096
  0.00011802]","[-0.00043174  0.00097791  0.00206675 ... -0.00027151  0.00258274
 -0.00132489]",2528,2528,2528,2366.459813209269,1771.5478012349656,1006.8405489847441,0.12638524734169385,0.14420190953714865,0.13880705090087803,0.00026778811331203123,0.0005233853155338229,0.00050916424028403
131,80,2.0,0.1,"[ 0.00261271 -0.00251617  0.00097739 ...  0.          0.
  0.        ]","[ 0.00263039 -0.00219194  0.00131821 ...  0.          0.
  0.00088709]","[-0.00065367  0.00048939  0.00063908 ... -0.00027151  0.00157793
 -0.00094036]",2528,2528,2528,1210.9596489017695,993.6214652022647,687.3234069704189,0.1158908994640514,0.13792029806342557,0.1381335466797086,0.0,9.464275537840096e-05,0.0003205986191005594
131,80,2.5,0.1,[0. 0. 0. ... 0. 0. 0.],[0.         0.         0.         ... 0.         0.         0.00088709],"[ 0.          0.          0.         ... -0.00104735  0.00157793
 -0.00094036]",2528,2528,2528,496.97430492410035,416.8585306849359,346.4227020150736,0.1066997269384362,0.11801502664059901,0.11849898260037744,0.0,0.0,0.0
