Ntraining,Njump,sigma_co,sigma_ve,rets_05,rets_10,rets_20,len rets 5,len rets 10,len rets 20,Capital_top5,Capital_top10,Capital_top20,Sharpe_top5,Sharpe_top10,Sharpe_top20,Median_top5,Median_top10,Median_top20
131,60,1.5,0.1,"[ 0.00261271 -0.00251617  0.00087719 ...  0.00452719  0.02053522
 -0.01606013]","[ 0.00263039 -0.00219194  0.00082116 ...  0.00080267  0.0209506
 -0.01412393]","[-0.00043174  0.00097791  0.00206675 ...  0.01278633  0.01022935
 -0.00750295]",2537,2537,2537,2089.7924497648487,1217.7789609599483,840.1503907908082,0.12217990949433775,0.1244764579653101,0.14030207146639023,8.123917704467494e-05,0.00029048264343821824,0.00038421317822531976
131,70,1.5,0.1,"[ 0.00261271 -0.00251617  0.00087719 ...  0.00128206 -0.00931719
  0.01327429]","[ 0.00263039 -0.00219194  0.00082116 ... -0.0027492  -0.00866247
  0.01829402]","[-0.00043174  0.00097791  0.00206675 ... -0.00020143 -0.00787576
  0.01630269]",2553,2553,2553,2939.2417757692238,1847.7909765789707,1180.521432979188,0.13033904415134073,0.13471084360811447,0.1472869601186497,0.00034760988514313253,0.0006192263193323669,0.0005554470265241866
131,80,1.5,0.1,"[ 0.00261271 -0.00251617  0.00087719 ...  0.          0.00356474
 -0.00171234]","[ 0.00263039 -0.00219194  0.00082116 ...  0.          0.0020096
  0.00011802]","[-0.00043174  0.00097791  0.00206675 ... -0.00027151  0.00258274
 -0.00132489]",2528,2528,2528,2366.459813209269,1771.5478012349656,1006.8405489847441,0.12638524734169385,0.14420190953714865,0.13880705090087803,0.00026778811331203123,0.0005233853155338229,0.00050916424028403
131,90,1.5,0.1,"[ 0.00261271 -0.00251617  0.00087719 ...  0.01221619  0.00656626
 -0.0014651 ]","[ 0.00263039 -0.00219194  0.00082116 ...  0.00957881  0.00494659
 -0.00249804]","[-0.00043174  0.00097791  0.00206675 ...  0.00842428  0.00282896
  0.00019703]",2581,2581,2581,1231.9019884090662,1340.501226773854,867.0147043801813,0.10113044498273058,0.12262826662695377,0.13784040502119177,0.0,0.0004362436222031474,0.0004612417699331833
