Ntraining,Njump,sigma_co,sigma_ve,rets_05,rets_10,rets_20,len rets 5,len rets 10,len rets 20,Capital_top5,Capital_top10,Capital_top20,Sharpe_top5,Sharpe_top10,Sharpe_top20,Median_top5,Median_top10,Median_top20
121,80,1.5,0.1,[0. 0. 0. ... 0. 0. 0.],"[ 0.          0.          0.         ... -0.00163599  0.00575347
  0.00067066]","[ 0.          0.          0.         ... -0.00219455  0.00353851
 -0.00146836]",2607,2607,2607,1629.9659727503513,1437.005779462647,945.7255570095169,0.12122080879278464,0.13828872404107762,0.1357174226382495,0.0,9.92802184164784e-05,0.00021466602407046545
131,80,1.5,0.1,"[ 0.00261271 -0.00251617  0.00087719 ...  0.          0.00356474
 -0.00171234]","[ 0.00263039 -0.00219194  0.00082116 ...  0.          0.0020096
  0.00011802]","[-0.00043174  0.00097791  0.00206675 ... -0.00027151  0.00258274
 -0.00132489]",2528,2528,2528,2366.459813209269,1771.5478012349656,1006.8405489847441,0.12638524734169385,0.14420190953714865,0.13880705090087803,0.00026778811331203123,0.0005233853155338229,0.00050916424028403
141,80,1.5,0.1,"[ 0.00224062  0.0009686   0.00044759 ... -0.00122444  0.00472338
 -0.00333048]","[4.72056106e-03 6.62855750e-06 1.39314777e-03 ... 1.41742314e-03
 5.45423706e-03 2.70796376e-03]","[ 3.43727954e-03  2.01933201e-05  1.15852907e-03 ... -9.22657113e-04
  5.21414258e-03 -4.59551394e-03]",2528,2528,2528,2258.663812761287,1556.452983202896,851.8258609475769,0.1215159221187535,0.12985962797959072,0.12811620375351138,0.0,0.00045044576284290825,0.00042721134881912564
151,80,1.5,0.1,"[ 0.00017283  0.00222219  0.0002952  ... -0.00106645  0.00700454
 -0.01132522]","[-0.00134224  0.00258786  0.00035076 ...  0.00931578  0.00726962
 -0.01150843]","[-0.00276441  0.00233879 -0.0010283  ...  0.00722149  0.00699799
 -0.00741186]",2528,2528,2528,1696.7691307677626,1284.9148959816653,780.1784136562956,0.11023290175163945,0.12264041718323142,0.12448820971120178,6.736122770900863e-05,0.00044522411916768975,0.0004433233973521483
161,80,1.5,0.1,"[-0.00288381  0.00300693 -0.00213329 ...  0.00386959 -0.0094939
  0.01775738]","[-0.00268231  0.00113017  0.00022109 ...  0.00341327 -0.00910997
  0.01488384]","[-0.0027309   0.00139918 -0.00034424 ...  0.00120244 -0.00562975
  0.00893239]",2528,2528,2528,1325.7835814869195,1426.163448998775,788.3864912991778,0.08789477590078251,0.12907593127888997,0.12524266614080984,0.0,0.00044449648830089934,0.0005102289966845096
