Ntraining,Njump,sigma_co,sigma_ve,rets_05,rets_10,rets_20,len rets 5,len rets 10,len rets 20,Capital_top5,Capital_top10,Capital_top20,Sharpe_top5,Sharpe_top10,Sharpe_top20,Median_top5,Median_top10,Median_top20
131,80,1.5,0.0,"[ 6.56668460e-04  4.57392329e-05  1.57954711e-03 ... -1.91627922e-03
  3.38692718e-03  3.82591484e-05]","[-0.00034327  0.00027862  0.00299034 ... -0.00187997 -0.00029941
 -0.0003217 ]","[-0.00013369  0.00055404  0.00276187 ... -0.0023863  -0.00061976
 -0.0008996 ]",2528,2528,2528,549.3452306531202,425.17240461976115,359.8751794441639,0.12430858418852847,0.12615517513760266,0.13609896485178083,0.0,0.0001776504498586287,0.00019200836250556227
131,80,1.5,0.1,"[ 6.56668460e-04  4.57392329e-05  1.57954711e-03 ... -1.91627922e-03
  3.38692718e-03  3.82591484e-05]","[-0.00034327  0.00027862  0.00299034 ... -0.00187997 -0.00029941
 -0.0003217 ]","[-0.00013369  0.00055404  0.00276187 ... -0.0023863  -0.00061976
 -0.0008996 ]",2528,2528,2528,552.4024325989596,414.50631553153994,353.7915246098254,0.12766647053600952,0.12738646835358491,0.13764604603643668,0.0,0.00016761453631416583,0.00020036299168634433
131,80,1.5,0.2,"[ 6.56668460e-04  4.57392329e-05  1.57954711e-03 ... -1.91627922e-03
  3.38692718e-03  4.40533527e-05]","[-0.00034327  0.00027862  0.00299034 ... -0.00187997 -0.00029941
 -0.00031881]","[ 0.00019758  0.00042824  0.00264612 ... -0.00093998 -0.00029941
 -0.00023457]",2528,2528,2528,519.8273154090118,396.061028979438,349.16515300015124,0.1260789881982757,0.1258538775902836,0.14017535188345998,0.0,0.00013936629021403865,0.00020473861161473286
131,80,1.5,0.5,"[6.56668460e-04 4.02167835e-04 4.79236932e-04 ... 0.00000000e+00
 0.00000000e+00 4.40533527e-05]","[-7.98851044e-05  4.64848899e-04  4.71239191e-04 ... -9.21829619e-04
 -2.99406164e-04 -3.21703002e-04]","[ 0.00032927  0.00052136  0.0007858  ... -0.00046091 -0.00029941
 -0.00023602]",2528,2528,2528,468.9449134417787,385.0440266244211,334.8016907531612,0.12511482842795038,0.13197501951373042,0.14389406755061326,0.0,6.25822132441105e-05,0.0001654935310341491
131,80,1.5,1.0,"[3.45403858e-05 4.87262012e-04 0.00000000e+00 ... 0.00000000e+00
 0.00000000e+00 4.40533527e-05]","[3.26461685e-04 2.43631006e-04 0.00000000e+00 ... 0.00000000e+00
 0.00000000e+00 2.20266764e-05]","[ 6.62249651e-04  6.19235938e-04  0.00000000e+00 ...  0.00000000e+00
 -1.49703082e-04 -6.41575671e-05]",2528,2528,2528,410.2329226986167,378.56953731613066,325.5092689842189,0.13048379661722836,0.14834781044753367,0.15598219884181175,0.0,0.0,8.853971262846283e-05
