Ntraining,Njump,sigma_co,sigma_ve,rets_05,rets_10,rets_20,len rets 5,len rets 10,len rets 20,Capital_top5,Capital_top10,Capital_top20,Sharpe_top5,Sharpe_top10,Sharpe_top20,Median_top5,Median_top10,Median_top20
131,80,0.5,0.1,"[1.27505145e-03 3.92036098e-04 1.57954711e-03 ... 1.09061485e-04
 3.01709929e-03 8.23125012e-05]","[ 5.21783982e-05  4.51769940e-04  2.99034220e-03 ...  2.56777109e-04
 -3.70996274e-03  8.64672069e-04]","[-7.03932077e-05  7.99652681e-04  3.16587467e-03 ...  7.90214980e-04
 -4.80076798e-03  8.75153106e-04]",2528,2528,2528,1003.0761736615062,728.7690144673832,571.4331517191412,0.1332531139075229,0.13723609742941115,0.14779318371361644,0.0003417091470978551,0.0004112208861930322,0.00032839791813566506
131,80,1.0,0.1,"[ 1.27505145e-03  3.92036098e-04  1.57954711e-03 ... -1.91627922e-03
  3.20201324e-03  3.82591484e-05]","[ 5.21783982e-05  4.51769940e-04  2.99034220e-03 ... -1.87996923e-03
 -3.91863137e-04  8.42645392e-04]","[-7.03932077e-05  7.99652681e-04  3.16587467e-03 ... -2.58387070e-03
 -9.32764190e-04  7.81234814e-04]",2528,2528,2528,953.2646605910413,628.3656452265192,479.8820686338975,0.14598590051943994,0.14394320810365802,0.15036977804176743,0.00018641206530819413,0.00032665363445441196,0.00028709371633431585
131,80,1.5,0.1,"[ 6.56668460e-04  4.57392329e-05  1.57954711e-03 ... -1.91627922e-03
  3.38692718e-03  3.82591484e-05]","[-0.00034327  0.00027862  0.00299034 ... -0.00187997 -0.00029941
 -0.0003217 ]","[-0.00013369  0.00055404  0.00276187 ... -0.0023863  -0.00061976
 -0.0008996 ]",2528,2528,2528,552.4024325989596,414.50631553153994,353.7915246098254,0.12766647053600952,0.12738646835358491,0.13764604603643668,0.0,0.00016761453631416583,0.00020036299168634433
131,80,2.0,0.1,[0. 0. 0. ... 0. 0. 0.],"[ 0.00030919  0.00017315 -0.00035939 ... -0.00092183 -0.00199287
 -0.00034083]","[ 0.00054751  0.00042667  0.00039652 ... -0.00096725 -0.00131679
 -0.000834  ]",2528,2528,2528,349.68104342718067,276.6206706705676,262.8417189657937,0.11166970324002988,0.10993169975521813,0.12592891288395797,0.0,0.0,0.00012071920337086134
131,80,2.5,0.1,[0. 0. 0. ... 0. 0. 0.],"[ 0.          0.          0.         ... -0.00187997 -0.00029941
 -0.00034373]","[ 0.          0.          0.         ... -0.00144632 -0.00047006
 -0.00083544]",2528,2528,2528,206.79060808907286,196.30728840197202,183.47027216555813,0.09559159133540104,0.10228036059421824,0.10798618439477592,0.0,0.0,0.0
